name,nationality,gender,birthdate
Émile Bernard,French,Male,1868
Francis Bernard,French,Male,1900
Valère Bernard,French,Male,1860
Jerry Berndt,American,Male,1943
Lucian Bernhard,American,Male,1883
Ruth Bernhard,American,Female,1905
Antonio Berni,Argentine,Male,1905
Janez Bernik,Yugoslav,Male,1933
Judith Bernstein,American,Female,1942
Richard Bernstein,American,Male,1939
Jean Berque,French,Male,1896
Miguel Ortiz Berrocal,Spanish,Male,1933
Berthold-Mahn (Charles Désiré),French,Male,1893
René Bertholo,Portuguese,Male,1935
Paul Berthon,French,Male,1872
Jake Berthot,American,Male,1939
Gianni Bertini,Italian,Male,1922
Harry Bertoia,American,Male,1915
Albert Besnard,French,Male,1849
Forrest Bess,American,Male,1911
Alan Randall Best,Canadian,Male,1958
Pierre Betz,French,Male,1899
Wim Beuning,Dutch,Male,1914
Joseph Beuys,German,Male,1921
Thomas Bewick,British,Male,1753
Jyoti Bhatt,Indian,Male,1934
Domenico Bianchi,Italian,Male,1955
Pamela Bianco,American,Female,1906
Fulvio Bianconi,Italian,Male,1915
Alberto Biasi,Italian,Male,1937
Guido Biasi,Italian,Male,1933
Ashley Bickerton,British,Male,1959
George Biddle,American,Male,1885
Charles Biederman,American,Male,1906
James Biederman,American,Male,1947
Aenne Biermann,German,Female,1898
Wilson Bigaud,Haitian,Male,1931
Max Bill,Swiss,Male,1908
Joseph Binder,American,Male,1898
Ilse Bing,American,Female,1899
Robert J. Bingham,British,Male,1824
Manfred Bingler,Swiss,Male,1928
Peter Birkhauser,Swiss,Male,1911
Robert Birmelin,American,Male,1933
Werner Bischof,Swiss,Male,1916
Elmer Bischoff,American,Male,1916
Isabel Bishop,American,Female,1902
James Bishop,American,Male,1927
Michael Bishop,American,Male,1946
Maureen Bisilliat,American,Female,1931
Julius Bissier,German,Male,1893
Roger Bissière,French,Male,1888
George Bissill,British,Male,1896
Auguste Rosalie Bisson,French,Male,1826
Louis-Auguste Bisson,French,Male,1814
Arnold Bittleman,American,Male,1933
Dolores Dembus Bittleman,American,Female,1931
Ion Bitzan,Romanian,Male,1924
Judith Black,American,Female,1945
