lat,lon,alt,date,device,os,version
40.7341461182,-73.9588699341,4.82528686523,2013-09-15 21:07:12,"iPhone5,2",6.1.4,1.1
40.7198753357,-73.9638214111,4.03817749023,2013-09-15 22:47:28,"iPhone5,2",6.1.4,1.1
40.7300949097,-73.9590911865,5.22171020508,2013-09-16 03:03:28,"iPhone5,2",6.1.4,1.1
40.736114502,-73.988494873,4.10598754883,2013-09-16 14:51:44,"iPhone5,2",6.1.4,1.1
40.7299575806,-73.9836578369,8.89044189453,2013-09-16 20:22:24,"iPhone5,2",6.1.4,1.1
40.7256622314,-73.9609832764,2.77926635742,2013-09-16 22:49:36,"iPhone5,2",6.1.4,1.1
40.7346611023,-73.9565734863,48.4654846191,2013-09-17 02:54:56,"iPhone5,2",6.1.4,1.1
40.7209205627,-73.9629516602,8.12026977539,2013-09-17 03:35:28,"iPhone5,2",6.1.4,1.1
40.73387146,-73.9588470459,4.1540222168,2013-09-17 04:37:20,"iPhone5,2",6.1.4,1.1
40.7213973999,-73.9627532959,4.11294555664,2013-09-17 16:02:08,"iPhone5,2",6.1.4,1.1
40.7369308472,-73.9862976074,-5.24942016602,2013-09-17 16:51:12,"iPhone5,2",6.1.4,1.1
40.7406425476,-73.9900283813,13.1413574219,2013-09-17 18:18:40,"iPhone5,2",6.1.4,1.1
40.7546157837,-73.9797821045,13.7211303711,2013-09-17 18:59:12,"iPhone5,2",6.1.4,1.1
40.739528656,-73.9906158447,23.0247421265,2013-09-17 20:54:24,"iPhone5,2",6.1.4,1.1
40.7338638306,-73.9746170044,11.3088684082,2013-09-17 23:45:04,"iPhone5,2",6.1.4,1.1
40.734172821,-73.9575195312,5.07452392578,2013-09-18 00:25:36,"iPhone5,2",6.1.4,1.1
40.7367706299,-73.9768600464,5.07452392578,2013-09-18 00:34:08,"iPhone5,2",6.1.4,1.1
40.733127594,-73.9586639404,5.07452392578,2013-09-18 00:53:20,"iPhone5,2",6.1.4,1.1
40.7203979492,-73.9631652832,26.2142944336,2013-09-18 17:04:00,"iPhone5,2",6.1.4,1.1
40.7308959961,-73.9633178711,6.05892944336,2013-09-18 17:31:44,"iPhone5,2",6.1.4,1.1
40.733757019,-73.9584960938,15.9511413574,2013-09-19 04:52:16,"iPhone5,2",6.1.4,1.1
40.7367401123,-73.9766540527,4.14212036133,2013-09-19 14:51:44,"iPhone5,2",6.1.4,1.1
40.7339630127,-73.9589157104,11.5402622223,2013-09-19 14:58:08,"iPhone5,2",6.1.4,1.1
40.7293205261,-73.9587173462,18.1580352783,2013-09-19 15:28:00,"iPhone5,2",6.1.4,1.1
40.7329864502,-73.9550628662,20,2013-09-19 18:05:52,"iPhone5,2",7.0,1.1
40.7465133667,-73.9453659058,18.7554340363,2013-09-19 21:05:04,"iPhone5,2",7.0,1.1
40.7554283142,-73.9910964966,26.4936161041,2013-09-19 21:22:08,"iPhone5,2",7.0,1.1
40.7464447021,-73.9480895996,13.2468261719,2013-09-20 00:19:12,"iPhone5,2",7.0,1.1
40.7321968079,-73.954574585,18.6378498077,2013-09-20 00:34:08,"iPhone5,2",7.0,1.1
40.7286720276,-73.9597167969,13.8117408752,2013-09-20 00:57:36,"iPhone5,2",7.0,1.1
40.7340202332,-73.9587783813,4.38482666016,2013-09-20 02:12:16,"iPhone5,2",7.0,1.1
40.7353439331,-73.9908752441,12.9359340668,2013-09-20 17:44:32,"iPhone5,2",7.0,1.1
40.7351951599,-73.9981613159,25.889667511,2013-09-20 18:03:44,"iPhone5,2",7.0,1.1
40.7363014221,-73.9964141846,23.6101913452,2013-09-20 21:00:48,"iPhone5,2",7.0,1.1
40.7361869812,-73.9961013794,23.4434947968,2013-09-20 22:24:00,"iPhone5,2",7.0,1.1
40.7404098511,-73.9866333008,24.8296527863,2013-09-20 22:51:44,"iPhone5,2",7.0,1.1
40.7622261047,-73.9685134888,26.2026519775,2013-09-20 23:06:40,"iPhone5,2",7.0,1.1
40.79479599,-73.944442749,25.3071804047,2013-09-20 23:19:28,"iPhone5,2",7.0,1.1
40.7586097717,-73.9682617188,19.3637123108,2013-09-21 02:33:36,"iPhone5,2",7.0,1.1
40.7472381592,-73.9452285767,19.3637123108,2013-09-21 02:42:08,"iPhone5,2",7.0,1.1
40.7322845459,-73.9552001953,20,2013-09-21 02:59:12,"iPhone5,2",7.0,1.1
40.7265815735,-73.9523925781,20,2013-09-21 12:39:28,"iPhone5,2",7.0,1.1
40.7348518372,-73.9923477173,21.5263309479,2013-09-21 13:13:36,"iPhone5,2",7.0,1.1
40.7591934204,-73.9874343872,21.5263309479,2013-09-21 13:34:56,"iPhone5,2",7.0,1.1
40.7820854187,-73.971862793,22.2213745117,2013-09-21 13:43:28,"iPhone5,2",7.0,1.1
40.7398529053,-74.0026702881,24.7188873291,2013-09-21 16:17:04,"iPhone5,2",7.0,1.1
40.7120704651,-73.9410934448,24,2013-09-21 16:36:16,"iPhone5,2",7.0,1.1
40.7138977051,-73.9351348877,8.65141963959,2013-09-21 16:46:56,"iPhone5,2",7.0,1.1
40.7121276855,-73.9407730103,24.4222946167,2013-09-21 21:20:00,"iPhone5,2",7.0,1.1
40.7301025391,-73.9543228149,22.3388805389,2013-09-21 21:39:12,"iPhone5,2",7.0,1.1
40.7194290161,-73.9635772705,15.2461843491,2013-09-21 22:43:12,"iPhone5,2",7.0,1.1
40.7286872864,-73.9597854614,15.4062538147,2013-09-21 23:23:44,"iPhone5,2",7.0,1.1
40.7339401245,-73.9589080811,12.093164444,2013-09-22 03:39:44,"iPhone5,2",7.0,1.1
40.7368392944,-73.9770584106,4.20056152344,2013-09-22 15:00:16,"iPhone5,2",7.0,1.1
40.7331008911,-73.9588623047,12.7146921158,2013-09-22 15:08:48,"iPhone5,2",7.0,1.1
40.7285842896,-73.9588775635,14.2710523605,2013-09-22 16:23:28,"iPhone5,2",7.0,1.1
40.7332649231,-73.9581069946,16.1937980652,2013-09-22 16:51:12,"iPhone5,2",7.0,1.1
40.7286682129,-73.9587860107,13.8243789673,2013-09-22 17:25:20,"iPhone5,2",7.0,1.1
40.7332725525,-73.959526062,14.2503948212,2013-09-22 22:53:52,"iPhone5,2",7.0,1.1
40.6886863708,-73.9851608276,29,2013-09-23 00:44:48,"iPhone5,2",7.0,1.1
40.6873245239,-73.9957351685,27.7760314941,2013-09-23 04:01:04,"iPhone5,2",7.0,1.1
40.69140625,-73.9984817505,22.9852466583,2013-09-23 04:54:24,"iPhone5,2",7.0,1.1
40.7197036743,-73.9443817139,23.8063926697,2013-09-23 05:02:56,"iPhone5,2",7.0,1.1
40.7340049744,-73.9588546753,11.440451622,2013-09-23 05:07:12,"iPhone5,2",7.0,1.1
40.7368392944,-73.976852417,13.1960792542,2013-09-23 11:50:24,"iPhone5,2",7.0,1.1
40.734172821,-73.9587936401,7.38558959961,2013-09-23 12:11:44,"iPhone5,2",7.0,1.1
40.7311096191,-73.9544067383,19.0111942291,2013-09-23 15:15:12,"iPhone5,2",7.0,1.1
40.7129974365,-73.9677886963,22.8465442657,2013-09-23 15:23:44,"iPhone5,2",7.0,1.1
40.7164344788,-73.9809646606,20.6958141327,2013-09-23 15:30:08,"iPhone5,2",7.0,1.1
40.7200698853,-73.9931411743,19.2081489563,2013-09-23 15:34:24,"iPhone5,2",7.0,1.1
40.7251358032,-73.9953231812,30.1122303009,2013-09-23 15:38:40,"iPhone5,2",7.0,1.1
40.7331199646,-73.9915313721,23.6945495605,2013-09-23 15:45:04,"iPhone5,2",7.0,1.1
40.7300300598,-73.9872207642,26.4274482727,2013-09-23 17:06:08,"iPhone5,2",7.0,1.1
40.7254943848,-73.9868164062,24.5522727966,2013-09-23 17:14:40,"iPhone5,2",7.0,1.1
40.7257118225,-73.9947662354,25.072429657,2013-09-23 19:12:00,"iPhone5,2",7.0,1.1
40.7285804749,-73.9813461304,26.7444343567,2013-09-23 19:39:44,"iPhone5,2",7.0,1.1
40.7202072144,-73.9629821777,23.4780216217,2013-09-23 19:46:08,"iPhone5,2",7.0,1.1
40.728717804,-73.9595947266,15.4941492081,2013-09-23 19:52:32,"iPhone5,2",7.0,1.1
40.7339248657,-73.9588623047,13.4386816025,2013-09-23 22:00:32,"iPhone5,2",7.0,1.1
40.7289619446,-73.9588851929,14.7679109573,2013-09-24 21:22:08,"iPhone5,2",7.0,1.1
40.7339248657,-73.9588851929,11.314907074,2013-09-25 02:52:48,"iPhone5,2",7.0,1.1
40.735004425,-73.9719696045,10.2315235138,2013-09-25 12:03:12,"iPhone5,2",7.0,1.1
40.7338943481,-73.9587936401,13.3660926819,2013-09-25 12:28:48,"iPhone5,2",7.0,1.1
40.7349739075,-73.9715881348,11.2563486099,2013-09-25 13:41:20,"iPhone5,2",7.0,1.1
40.7338981628,-73.958770752,13.8508300781,2013-09-25 14:09:04,"iPhone5,2",7.0,1.1
40.7350082397,-73.9719848633,13.8508300781,2013-09-25 14:51:44,"iPhone5,2",7.0,1.1
40.7338676453,-73.9587173462,14.1091279984,2013-09-25 15:36:32,"iPhone5,2",7.0,1.1
40.7353439331,-73.9910583496,18.5232486725,2013-09-25 16:44:48,"iPhone5,2",7.0,1.1
40.7364501953,-73.9968948364,24.5553379059,2013-09-25 18:54:56,"iPhone5,2",7.0,1.1
40.7339553833,-73.9795837402,22.7525177002,2013-09-25 20:43:44,"iPhone5,2",7.0,1.1
40.7327804565,-73.9571228027,17.1570892334,2013-09-25 20:50:08,"iPhone5,2",7.0,1.1
40.7352180481,-73.9708633423,11.2623977661,2013-09-25 23:30:08,"iPhone5,2",7.0,1.1
40.7341575623,-73.9585342407,12.4925136566,2013-09-26 00:04:16,"iPhone5,2",7.0,1.1
40.7282600403,-73.9573745728,16.7127799988,2013-09-26 00:12:48,"iPhone5,2",7.0,1.1
40.725276947,-73.9524612427,17.805480957,2013-09-26 00:19:12,"iPhone5,2",7.0,1.1
40.7296905518,-73.9575805664,16.8334369659,2013-09-26 02:05:52,"iPhone5,2",7.0,1.1
40.7405052185,-73.9730377197,4.11096191406,2013-09-26 07:47:12,"iPhone5,2",7.0,1.1
40.7338981628,-73.9589385986,3.79254150391,2013-09-26 08:06:24,"iPhone5,2",7.0,1.1
40.7358894348,-73.9714431763,4.1526184082,2013-09-26 11:03:28,"iPhone5,2",7.0,1.1
40.7341690063,-73.9584579468,13.5729188919,2013-09-26 13:43:28,"iPhone5,2",7.0,1.1
40.7358894348,-73.9714431763,20,2013-09-26 15:47:12,"iPhone5,2",7.0,1.1
40.7342720032,-73.9590530396,14.729095459,2013-09-26 21:22:08,"iPhone5,2",7.0,1.1
40.7369918823,-73.9767608643,4.21200561523,2013-09-26 22:00:32,"iPhone5,2",7.0,1.1
40.7338638306,-73.9595947266,4.21200561523,2013-09-26 22:11:12,"iPhone5,2",7.0,1.1
40.7201881409,-73.9627151489,9.29956054688,2013-09-26 23:00:16,"iPhone5,2",7.0,1.1
40.7153244019,-73.9626693726,13.9738464355,2013-09-26 23:04:32,"iPhone5,2",7.0,1.1
40.7060928345,-73.9816055298,16.9272155762,2013-09-26 23:49:20,"iPhone5,2",7.0,1.1
40.7290802002,-73.970703125,16.9272155762,2013-09-27 00:00:00,"iPhone5,2",7.0,1.1
40.7145042419,-73.9590377808,16.9272155762,2013-09-27 02:18:40,"iPhone5,2",7.0,1.1
40.7346534729,-73.9624099731,24.3596191406,2013-09-27 03:05:36,"iPhone5,2",7.0,1.1
40.7205657959,-73.9638977051,4.47885131836,2013-09-27 18:10:08,"iPhone5,2",7.0,1.1
40.7315711975,-73.9688491821,5.67581176758,2013-09-27 18:59:12,"iPhone5,2",7.0,1.1
40.7366409302,-73.9932937622,5.67581176758,2013-09-27 19:14:08,"iPhone5,2",7.0,1.1
40.7014274597,-73.9869155884,20,2013-09-27 23:06:40,"iPhone5,2",7.0,1.1
40.7323379517,-73.9546966553,19.301530838,2013-09-28 00:17:04,"iPhone5,2",7.0,1.1
40.7363052368,-73.9710083008,12.8409318924,2013-09-28 02:20:48,"iPhone5,2",7.0,1.1
40.7339630127,-73.9589004517,15.0790643692,2013-09-28 04:01:04,"iPhone5,2",7.0,1.1
40.7447776794,-73.9747695923,5.29732275009,2013-09-28 13:30:40,"iPhone5,2",7.0,1.1
40.734336853,-73.958656311,5.29732275009,2013-09-28 13:41:20,"iPhone5,2",7.0,1.1
40.7274703979,-73.9529418945,20,2013-09-28 13:54:08,"iPhone5,2",7.0,1.1
40.7097396851,-73.9589004517,20,2013-09-28 14:11:12,"iPhone5,2",7.0,1.1
40.691619873,-73.9680480957,30.1922664642,2013-09-28 14:17:36,"iPhone5,2",7.0,1.1
40.713973999,-73.9514465332,27.2053642273,2013-09-28 16:19:12,"iPhone5,2",7.0,1.1
40.7144966125,-73.9446563721,18.5095272064,2013-09-28 16:25:36,"iPhone5,2",7.0,1.1
40.7122535706,-73.9394836426,23.8949947357,2013-09-28 16:40:32,"iPhone5,2",7.0,1.1
40.7145843506,-73.9445724487,24.001127243,2013-09-28 21:22:08,"iPhone5,2",7.0,1.1
40.7253456116,-73.9516830444,16.3252410889,2013-09-28 21:49:52,"iPhone5,2",7.0,1.1
40.7346534729,-73.9551315308,18.1288700104,2013-09-28 21:58:24,"iPhone5,2",7.0,1.1
40.7311248779,-73.9592590332,20,2013-09-28 22:28:16,"iPhone5,2",7.0,1.1
40.7247200012,-73.9539031982,20,2013-09-29 02:08:00,"iPhone5,2",7.0,1.1
40.7332458496,-73.958114624,19.0675640106,2013-09-29 03:50:24,"iPhone5,2",7.0,1.1
40.7200737,-73.960899353,11.3135728836,2013-09-29 14:24:00,"iPhone5,2",7.0,1.1
40.7286148071,-73.9597625732,17.0573730469,2013-09-29 14:36:48,"iPhone5,2",7.0,1.1
40.733669281,-73.9596176147,13.8795013428,2013-09-29 15:47:12,"iPhone5,2",7.0,1.1
40.7288818359,-73.9595413208,15.2584533691,2013-09-29 16:23:28,"iPhone5,2",7.0,1.1
40.727432251,-73.9528808594,19.453119278,2013-09-29 17:18:56,"iPhone5,2",7.0,1.1
40.7357292175,-73.971496582,19.9741249084,2013-09-29 17:40:16,"iPhone5,2",7.0,1.1
40.7336044312,-73.9579772949,16.5430316925,2013-09-29 17:50:56,"iPhone5,2",7.0,1.1
40.729095459,-73.9589614868,15.8685264587,2013-09-29 19:44:00,"iPhone5,2",7.0.2,1.1
40.733959198,-73.9588928223,10.6318359375,2013-09-29 22:49:36,"iPhone5,2",7.0.2,1.1
40.7308692932,-73.9542617798,13.7425804138,2013-09-30 11:35:28,"iPhone5,2",7.0.2,1.1
40.7286109924,-73.9597396851,20.8497314453,2013-09-30 12:13:52,"iPhone5,2",7.0.2,1.1
40.7265319824,-73.9544754028,20,2013-09-30 14:51:44,"iPhone5,2",7.0.2,1.1
40.7263374329,-73.972984314,17.3531513214,2013-09-30 15:32:16,"iPhone5,2",7.0.2,1.1
40.7346229553,-73.9903869629,23.6521911621,2013-09-30 15:38:40,"iPhone5,2",7.0.2,1.1
40.7313842773,-73.9774093628,25.7911758423,2013-09-30 17:12:32,"iPhone5,2",7.0.2,1.1
40.7215881348,-73.960723877,15.0719146729,2013-09-30 17:16:48,"iPhone5,2",7.0.2,1.1
40.7286148071,-73.9597396851,16.4571456909,2013-09-30 17:53:04,"iPhone5,2",7.0.2,1.1
40.7287368774,-73.9597167969,14.9342670441,2013-09-30 19:44:00,"iPhone5,2",7.0.2,1.1
40.7333564758,-73.9579925537,14.4497766495,2013-09-30 21:20:00,"iPhone5,2",7.0.2,1.1
40.7449607849,-73.9440307617,17.0227165222,2013-09-30 21:32:48,"iPhone5,2",7.0.2,1.1
40.7431182861,-73.9927902222,20,2013-09-30 21:54:08,"iPhone5,2",7.0.2,1.1
40.747795105,-73.993019104,15.4175033569,2013-09-30 22:02:40,"iPhone5,2",7.0.2,1.1
40.7430458069,-73.9928436279,32.9096031189,2013-10-01 00:53:20,"iPhone5,2",7.0.2,1.1
40.7468948364,-73.9440612793,28.4760799408,2013-10-01 01:08:16,"iPhone5,2",7.0.2,1.1
40.7317581177,-73.954536438,20,2013-10-01 01:23:12,"iPhone5,2",7.0.2,1.1
40.7354202271,-73.970916748,9.14732265472,2013-10-01 02:54:56,"iPhone5,2",7.0.2,1.1
40.7339324951,-73.9589004517,12.0764408112,2013-10-01 03:05:36,"iPhone5,2",7.0.2,1.1
40.7287559509,-73.9597549438,16.3793239594,2013-10-01 13:54:08,"iPhone5,2",7.0.2,1.1
