UNIVERSITY OF FLORIDA,58000,NASA
TRUSTEES OF INDIANA UNIVERSITY,88168.68,NSF
PENNSYLVANIA STATE UNIVERSITY  THE,125000,NSF
UNIVERSITY OF PITTSBURGH THE,1155034,NSF
WESTAT  INC.,1138966,NSF
EDUCATION DEVELOPMENT CENTER  INC.,4543465,NSF
UNIVERSITY OF TENNESSEE,225000,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,433911,NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION  INC.,382213,NSF
UNIVERSITY OF CALIFORNIA MERCED,241476,NSF
OHIO STATE UNIVERSITY  THE,98721,NSF
CARNEGIE MELLON UNIVERSITY,1487349,NSF
NMC  INC.,633166,NSF
STROUD WATER RESEARCH CENTER INC,1366089,NSF
UNIVERSITY OF WASHINGTON,1383510,NSF
CARNEGIE MELLON UNIVERSITY,650000,NSF
UNIVERSITY OF CALIFORNIA  IRVINE,3835250,NSF
CAL POLY CORPORATION,52075,NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,1497936,NSF
UNIVERSITY OF FLORIDA,929446,NSF
TEXAS TECH UNIVERSITY SYSTEM,389272,NSF
UNIVERSITY OF WASHINGTON,785949,NSF
WRIGHT STATE UNIVERSITY,400000,NSF
UNIVERSITY OF ILLINOIS,499936,NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,300000,NSF
MIAMI UNIVERSITY,99811,NSF
CONCORD CONSORTIUM INC,999921,NSF
PURDUE UNIVERSITY,500000,NSF
SALK INSTITUTE FOR BIOLOGICAL STUDIES  SAN DIEGO  CALIFORNIA  THE,666999,NSF
VANDERBILT UNIVERSITY  THE,399951,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,539999,NSF
UNIVERSITY OF DELAWARE,164841,NASA
PROXEMY RESEARCH  INC,81864,NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION,116819.84,NASA
NORTH CAROLINA STATE UNIVERSITY,200002,NSF
WASHINGTON STATE UNIVERSITY,742000,NSF
WASHINGTON UNIVERSITY  THE,299412,NSF
GEORGIA TECH RESEARCH CORPORATION,483443,NSF
MATHEMATICAL ASSOCIATION OF AMERICA  INC,698744,NSF
GEORGIA TECH RESEARCH CORPORATION,487681,NSF
UNIVERSITY OF TEXAS AT AUSTIN,14978,NSF
NEW MEXICO STATE UNIVERSITY,702000,NSF
DREXEL UNIVERSITY,270584,NSF
CENTRAL MICHIGAN UNIVERSITY (INC),565000,NSF
